Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciScore_A_Characterisation,SciScore_B_Interest,SciScore_Combined,SciFlags_Applied,SciPotential_Score_1to10,DeltaV_Score,Total_WeightedScore,Sub_Mass_Score,Sub_Radius_Score,Sub_Ecc_Score,Sub_Inc_Score,Sub_SMA_Score,Sub_RotPer_Score
202 Chryseis  (r=43.1km),S — Silicaceous stony [Tholen],9.03916328890327e+17,43.075,3.067590752,0.105139885,8.853205423,23.67,8,0,3.2,none,3.81,0,2.9353,4,3,6.84,4.76,3.64,3.18
368 Haidea  (r=34.6km),D — Primitive dark (organic-rich) [Tholen],2.43721518674909e+17,34.6385,3.069587266,0.206579942,7.784643746,9.823,8,0,3.2,none,3.81,0,2.9336,3,3,2.67,5.78,3.6,7.31
1062 Ljuba (1925 TD)  (r=29.0km),Unclassified,2.04648601594646e+17,29.0155,3.007896822,0.07243978,5.596712104,33.8,7,0,2.8,none,2.28,0,2.9282,2,2,8.31,7.4,4.11,1.71
235 Carolina  (r=28.8km),S — Silicaceous stony [Tholen],2.68999246771419e+17,28.7585,2.881647683,0.0601369,9.029523656,17.61,8,0,3.2,none,3.81,0,2.922,3,2,8.98,4.69,5.07,5.27
101 Helena  (r=32.9km),S — Silicaceous stony [SMASSII],4.03489142786607e+17,32.92,2.583660776,0.140522869,10.19192324,23.08,9,0,3.6,none,6.68,0,2.914,3,2,5.24,3.8,8.51,3.36
589 Croatia  (r=46.8km),CX — Primitive carbonaceous [Tholen],6.01437935389439e+17,46.8085,3.133353283,0.040304487,10.79903408,24.932,8,0,3.2,none,3.81,0,2.9131,4,4,9.56,3.38,2.71,2.91
115 Thyra  (r=39.9km),S — Silicaceous stony [SMASSII],7.19218374690896e+17,39.915,2.380017876,0.192356182,11.58738111,7.241,9,0,3.6,none,6.68,0,2.9127,4,3,3.16,2.96,9.42,4.22
250 Bettina  (r=60.5km),Xk — X-complex (metallic / enstatite) [SMASSII],3.24615264786466e+18,60.4975,3.141326429,0.136971433,12.82180825,5.0545,9,0,3.6,none,6.68,0,2.9104,5,4,5.38,2.18,2.42,2.22
424 Gratia  (r=51.3km),Unclassified,1.12986399945822e+18,51.2825,2.77308491,0.109920229,8.223379714,20.063,6,0,2.4,none,1.56,0,2.908,4,4,6.67,5.24,5.89,4.09
360 Carlova  (r=64.6km),C — Primitive carbonaceous [SMASSII],1.57818409260206e+18,64.5625,3.0048785,0.173726337,11.74307652,6.183,9,0,3.6,none,6.68,0,2.9073,4,4,3.8,2.84,4.2,3.29
287 Nephthys  (r=29.8km),S — Silicaceous stony [Tholen],2.99522209907013e+17,29.8075,2.352920214,0.023712531,10.03368071,7.605,8,0,3.2,none,3.81,0,2.8998,3,2,9.87,3.98,9.69,4.62
324 Bamberga  (r=110.3km),CP — Primitive carbonaceous [Tholen],7.87917099422124e+18,110.3455,2.682371258,0.340449118,11.09615681,29.43,8,0,3.2,none,3.81,0,2.8989,6,6,1,3.18,7.22,2.13
1731 Smuts (1948 PH)  (r=27.4km),Unclassified,1.72182826965216e+17,27.392,3.16506998,0.128266563,5.931581157,12.5,6,0,2.4,none,1.56,0,2.8853,2,2,5.78,7.18,1.64,9.31
583 Klotilde  (r=39.1km),C — Primitive carbonaceous [Tholen],3.51031889735516e+17,39.118,3.177281214,0.159433721,8.241489088,9.2135,8,0,3.2,none,3.81,0,2.8669,3,3,4.53,5.2,1.47,6.8
365 Corduba  (r=43.4km),C — Primitive carbonaceous [SMASSII],4.78939322666077e+17,43.3865,2.803705964,0.155397764,12.79578829,12.705,9,0,3.6,none,6.68,0,2.8584,3,3,4.69,2.22,5.44,9.22
861 Aida  (r=33.4km),Unclassified,3.12847618093881e+17,33.425,3.14198798,0.099183304,8.056106078,10.95,6,0,2.4,none,1.56,0,2.8533,3,3,7.16,5.44,2.36,8.76
1254 Erfordia (1932 JA)  (r=25.8km),Unclassified,1.43371180314675e+17,25.77,3.135875661,0.02458047,7.091959681,12.287,6,0,2.4,none,1.56,0,2.848,2,1,9.84,6.22,2.56,9.6
487 Venetia  (r=29.5km),S — Silicaceous stony [Tholen],2.9102736893856e+17,29.523,2.669459303,0.08623071,10.25348892,13.34,8,0,3.2,none,3.81,0,2.8278,3,2,7.62,3.73,7.44,8.53
598 Octavia  (r=39.1km),X — X-complex (metallic / enstatite) [SMASSII],8.77613376018636e+17,39.1185,2.75927888,0.25092927,12.23449556,10.8903,9,0,3.6,none,6.68,0,2.8269,4,3,1.38,2.51,6.16,8.6
744 Aguntina  (r=29.3km),FX: — Primitive carbonaceous [Tholen],1.47781362564966e+17,29.318,3.179828398,0.111933366,7.719961617,17.47,8,0,3.2,none,3.81,0,2.8149,2,2,6.51,5.82,1.38,5.47
255 Oppavia  (r=28.5km),X — X-complex (metallic / enstatite) [Tholen],3.38295462884772e+17,28.4695,2.74659021,0.078962205,9.460609648,19.499,8,0,3.2,none,3.81,0,2.8042,3,2,8.02,4.42,6.4,4.42
269 Justitia  (r=25.4km),Ld — Spinel-bearing stony [SMASSII],1.8454641245054e+17,25.364,2.613111734,0.216596047,5.477935038,33.128,8,0,3.2,none,3.81,0,2.7851,2,1,2.36,7.58,8.22,1.76
3 Juno  (r=123.3km),Sk — Silicaceous stony [SMASSII],2.11992486849947e+19,123.298,2.670879059,0.255825773,12.98603961,7.21,8,0,3.2,none,3.81,0,2.7833,6,6,1.31,2.09,7.4,4.13
1114 Lorraine (1928 WA)  (r=37.8km),Xc — X-complex (metallic / enstatite) [SMASSII],7.92804661090444e+17,37.8155,3.093769664,0.071709774,10.72083357,20.71,8,0,3.2,none,3.81,0,2.7762,4,3,8.36,3.4,3.38,3.84
932 Hooveria  (r=29.5km),CB — Primitive carbonaceous [Tholen],1.50382320283145e+17,29.489,2.419281096,0.09125474,8.109630089,78.44,8,0,3.2,none,3.81,0,2.7633,2,2,7.42,5.38,9.22,1.11
403 Cyane  (r=26.8km),S — Silicaceous stony [SMASSII],2.17382513754216e+17,26.787,2.811519018,0.097850582,9.153301225,12.283,8,0,3.2,none,3.81,0,2.7451,2,1,7.24,4.62,5.38,9.62
446 Aeternitas  (r=26.8km),A — Olivine-dominated (mantle fragment?) [SMASSII],2.17236472433098e+17,26.781,2.787517009,0.124596415,10.61499924,15.7413,9,0,3.6,none,6.68,0,2.7411,2,1,6.04,3.51,5.69,6.69
392 Wilhelmina  (r=30.4km),Ch — Primitive carbonaceous [SMASSII],1.64348409233178e+17,30.375,2.885886951,0.138206931,14.31582346,13.058,8,2,4.4,aqueous-alteration(+3),8.67,0,2.7311,2,2,5.29,1.33,5.04,8.82
469 Argentina  (r=66.9km),X — X-complex (metallic / enstatite) [Tholen],4.38163587277859e+18,66.859,3.178463419,0.161504427,11.45422487,17.5727,8,0,3.2,none,3.81,0,2.7296,5,4,4.47,3.02,1.42,5.38
488 Kreusa  (r=84.1km),C — Primitive carbonaceous [Tholen],3.48306478662103e+18,84.0585,3.167353726,0.158443512,11.47607543,32.645,8,0,3.2,none,3.81,0,2.7118,5,5,4.58,3,1.62,1.78
382 Dodona  (r=32.6km),M — Metallic or enstatite (ambiguous) [Tholen],5.08146908018012e+17,32.6045,3.135194422,0.164961875,7.400436473,4.113,8,0,3.2,none,3.81,0,2.7104,3,2,4.27,6.02,2.58,1.62
173 Ino  (r=62.9km),Xk — X-complex (metallic / enstatite) [SMASSII],3.6502790366492e+18,62.9105,2.741658444,0.209512608,14.19488191,6.15,9,0,3.6,none,6.68,0,2.7029,5,4,2.6,1.36,6.51,3.27
636 Erika  (r=36.6km),Unclassified,4.09843616273511e+17,36.5735,2.914429597,0.17151306,7.911500752,14.603,6,0,2.4,none,1.56,0,2.7013,3,3,4.09,5.64,4.8,7.33
693 Zerbinetta  (r=41.1km),ST — Silicaceous stony [Tholen],7.82733662189919e+17,41.057,2.943115906,0.029712901,14.19131421,11.475,8,0,3.2,none,3.81,0,2.6962,4,3,9.76,1.38,4.56,9.27
152 Atala  (r=29.5km),S — Silicaceous stony [SMASSII],2.8981656118635e+17,29.482,3.136202301,0.082687813,12.12490202,6.246,9,0,3.6,none,6.68,0,2.694,3,2,7.78,2.53,2.53,3.38
762 Pulcova  (r=73.7km),F — Primitive carbonaceous [Tholen],2.344850627627e+18,73.6715,3.152476864,0.107848369,13.10225384,5.839,8,0,3.2,none,3.81,0,2.6878,5,5,6.76,1.96,1.98,2.96
769 Tatjana  (r=48.4km),Unclassified,9.47496210161248e+17,48.36,3.169236787,0.186487335,7.368423025,35.08,6,0,2.4,none,1.56,0,2.6867,4,4,3.4,6.04,1.6,1.6
838 Seraphina  (r=29.0km),P — Primitive dark (P-type) [Tholen],3.59321277269186e+17,29.0475,2.899107968,0.130835469,10.42207653,11.69,8,0,3.2,none,3.81,0,2.6851,3,2,5.62,3.67,4.93,9.56
412 Elisabetha  (r=48.0km),C — Primitive carbonaceous [SMASSII],6.4968097742579e+17,48.028,2.762454322,0.041162074,13.78017285,19.635,8,0,3.2,none,3.81,0,2.6767,4,4,9.51,1.58,6.13,4.36
664 Judith  (r=42.6km),XC — X-complex (metallic / enstatite) [Tholen],1.1339646657936e+18,42.607,3.17858987,0.241614132,8.569044239,19.306,8,0,3.2,none,3.81,0,2.6731,4,3,1.58,4.98,1.4,4.53
1424 Sundmania (1937 AJ)  (r=32.3km),X — X-complex (metallic / enstatite) [SMASSII],4.96133166215207e+17,32.3455,3.190423877,0.055557684,9.159538997,93.73,8,0,3.2,none,3.81,0,2.6704,3,2,9.16,4.6,1.24,1.07
648 Pippa  (r=34.1km),XC — X-complex (metallic / enstatite) [Tholen],5.83117902725915e+17,34.135,3.196116179,0.203063894,9.876191309,9.263,8,0,3.2,none,3.81,0,2.6576,4,3,2.78,4.11,1.02,6.87
415 Palatia  (r=41.8km),DP — Primitive dark (organic-rich) [Tholen],4.27682964660197e+17,41.78,2.790577887,0.300742661,8.221299929,20.73,8,0,3.2,none,3.81,0,2.6442,3,3,1.11,5.29,5.67,3.82
584 Semiramis  (r=27.0km),Sl — Silicaceous stony [SMASSII],2.22733180362214e+17,27.005,2.373773599,0.233046566,10.71984377,5.068,9,0,3.6,none,6.68,0,2.614,3,2,1.89,3.42,9.53,2.27
690 Wratislavia  (r=67.3km),CPF — Primitive carbonaceous [Tholen],1.78955780505331e+18,67.325,3.152463244,0.175888772,11.2442831,8.64,8,0,3.2,none,3.81,0,2.6118,4,4,3.69,3.09,2,5.98
538 Friederike  (r=35.3km),Unclassified,3.69131144883209e+17,35.32,3.154214149,0.172315234,6.524493627,46.728,6,0,2.4,none,1.56,0,2.5956,3,3,3.93,6.67,1.93,1.24
674 Rachele  (r=48.1km),S — Silicaceous stony [SMASSII],1.25746174673502e+18,48.0855,2.924099145,0.193067783,13.51317903,30.982,9,0,3.6,none,6.68,0,2.5896,4,4,3.11,1.69,4.69,1.91
530 Turandot  (r=42.4km),F — Primitive carbonaceous [Tholen],4.47798049896359e+17,42.425,3.191558597,0.21678272,8.561319269,19.961,8,0,3.2,none,3.81,0,2.5829,3,3,2.33,5,1.16,4.16
498 Tokio  (r=40.9km),M — Metallic or enstatite (ambiguous) [Tholen],1.00416324308841e+18,40.915,2.649793245,0.2239696,9.502635896,41.85,8,0,3.2,none,3.81,0,2.5816,4,3,2.04,4.38,7.82,1.33
174 Phaedra  (r=32.4km),S — Silicaceous stony [SMASSII],3.85542480190398e+17,32.4245,2.85821349,0.145398717,12.10491967,5.744,9,0,3.6,none,6.68,0,2.5749,3,2,5.09,2.58,5.27,2.84
1351 Uzbekistania (1934 TF)  (r=30.0km),Xk — X-complex (metallic / enstatite) [SMASSII],3.96038627678046e+17,30.005,3.194930879,0.069190252,9.643461882,74.07,8,0,3.2,none,3.81,0,2.5691,3,2,8.44,4.31,1.07,1.13
505 Cava  (r=57.5km),FC — Primitive carbonaceous [Tholen],1.11485960297329e+18,57.5,2.687215029,0.24256401,9.822321516,8.1789,7,0,2.8,none,2.28,0,2.5616,4,4,1.53,4.18,7.18,5.29
416 Vaticana  (r=42.7km),Sl — Silicaceous stony [SMASSII],8.82680430896581e+17,42.735,2.791857392,0.219731725,12.83212779,5.372,9,0,3.6,none,6.68,0,2.5513,4,3,2.2,2.16,5.64,2.51
227 Philosophia  (r=61.9km),Unclassified,1.9913513518071e+18,61.9455,3.152496989,0.199845311,9.087033118,26.468,6,0,2.4,none,1.56,0,2.5467,5,4,2.89,4.67,1.96,2.58
607 Jenny  (r=33.8km),Unclassified,3.22348696840104e+17,33.76,2.852347767,0.077816473,10.09225178,8.521,6,0,2.4,none,1.56,0,2.5453,3,3,8.11,3.91,5.29,5.82
510 Mabella  (r=30.2km),PD — Primitive dark (P-type) [Tholen],4.04814054634322e+17,30.225,2.609853606,0.19168888,9.5421147,19.4,8,0,3.2,none,3.81,0,2.5429,3,2,3.24,4.36,8.24,4.47
1961 Dufour (1973 WA)  (r=25.2km),Unclassified,1.3334955475587e+17,25.155,3.190846409,0.12648705,6.648710644,15.79,6,0,2.4,none,1.56,0,2.5418,2,1,5.98,6.58,1.2,6.64
634 Ute  (r=37.0km),X — X-complex (metallic / enstatite) [SMASSII],7.43123683436126e+17,37.0085,3.049345803,0.180454453,12.29115785,11.7554,8,0,3.2,none,3.81,0,2.5416,4,3,3.58,2.44,3.8,9.71
508 Princetonia  (r=58.6km),C — Primitive carbonaceous [Tholen],1.18131359006196e+18,58.6205,3.164497089,0.009215749,13.29835661,52.8,8,0,3.2,none,3.81,0,2.538,4,4,9.98,1.82,1.67,1.2
479 Caprera  (r=30.0km),C — Primitive carbonaceous [SMASSII],1.59033971624058e+17,30.044,2.722095326,0.217608987,8.677435611,9.454,8,0,3.2,none,3.81,0,2.5336,2,2,2.29,4.82,6.87,7.02
774 Armor  (r=25.1km),Unclassified,1.32587649851e+17,25.107,3.051407166,0.164943531,5.562572993,25.194,6,0,2.4,none,1.56,0,2.516,2,1,4.29,7.47,3.78,2.8
252 Clementina  (r=32.7km),Unclassified,2.92176825517012e+17,32.672,3.160177313,0.06565784,10.03621014,10.864,6,0,2.4,none,1.56,0,2.5049,3,2,8.62,3.96,1.78,8.58
369 Aeria  (r=36.9km),M — Metallic or enstatite (ambiguous) [Tholen],7.35619158803591e+17,36.8835,2.647635983,0.098722015,12.72666199,4.778,8,0,3.2,none,3.81,0,2.502,4,3,7.2,2.29,7.84,2.04
99 Dike  (r=33.7km),Xk — X-complex (metallic / enstatite) [SMASSII],5.59959793109196e+17,33.677,2.66324028,0.197712654,13.86365349,18.127,9,0,3.6,none,6.68,0,2.49,3,3,2.96,1.53,7.6,4.98
1023 Thomana  (r=29.1km),G — Primitive carbonaceous [Tholen],1.45031290794964e+17,29.135,3.17236147,0.09568407,10.05938176,17.56,8,0,3.2,none,3.81,0,2.4869,2,2,7.31,3.93,1.56,5.42
611 Valeria  (r=28.7km),L — Spinel-bearing stony [SMASSII],2.68312333139226e+17,28.734,2.978507099,0.124793496,13.44394877,6.977,9,0,3.6,none,6.68,0,2.4829,3,2,6.02,1.71,4.44,3.89
740 Cantabia  (r=45.5km),CX — Primitive carbonaceous [Tholen],5.50577307544916e+17,45.45,3.055212597,0.104670968,10.82102231,64.453,8,0,3.2,none,3.81,0,2.4549,3,3,6.89,3.33,3.76,1.16
691 Lehigh  (r=39.7km),CD: — Primitive carbonaceous [Tholen],3.67641696323656e+17,39.7255,3.008692036,0.125570173,13.02285058,12.891,8,0,3.2,none,3.81,0,2.4536,3,3,6,2,4.09,8.96
971 Alsatia  (r=30.4km),C — Primitive carbonaceous [SMASSII],1.65299807792662e+17,30.4335,2.639285904,0.163551143,13.79482615,9.614,9,0,3.6,none,6.68,0,2.4309,2,2,4.33,1.56,7.98,7.13
1032 Pafuri  (r=32.8km),X — X-complex (metallic / enstatite) [SMASSII],5.18715965712566e+17,32.829,3.128956655,0.140796398,9.480262595,113,8,0,3.2,none,3.81,0,2.4242,3,2,5.22,4.4,2.78,1.04
258 Tyche  (r=32.4km),S — Silicaceous stony [SMASSII],3.84313125724806e+17,32.39,2.614489506,0.204856222,14.32679842,10.041,9,0,3.6,none,6.68,0,2.4202,3,2,2.71,1.29,8.18,7.53
294 Felicia  (r=25.9km),Unclassified,1.46100521007244e+17,25.9325,3.157283574,0.23255756,6.265877007,10.4227,6,0,2.4,none,1.56,0,2.4018,2,1,1.91,6.76,1.82,8.04
563 Suleika  (r=26.6km),Sl — Silicaceous stony [SMASSII],2.13943722095798e+17,26.645,2.71172735,0.236357696,10.2474386,5.69,9,0,3.6,none,6.68,0,2.4007,2,1,1.76,3.76,7,2.73
764 Gedania  (r=29.1km),C — Primitive carbonaceous [Tholen],1.45105972199674e+17,29.14,3.195735407,0.092301037,9.999752699,24.968,8,0,3.2,none,3.81,0,2.3971,2,2,7.38,4.02,1.04,2.89
3754 Kathleen (1931 FM)  (r=26.8km),Unclassified,1.62153830603606e+17,26.8495,3.162160167,0.106339705,8.45541114,11.18,6,0,2.4,none,1.56,0,2.3938,2,1,6.8,5.07,1.73,9
455 Bruchsalia  (r=44.4km),CP — Primitive carbonaceous [Tholen],5.13154537147513e+17,44.396,2.656092741,0.294369738,12.01748276,11.839,8,0,3.2,none,3.81,0,2.3913,3,3,1.16,2.62,7.69,9.76
485 Genua  (r=31.9km),S — Silicaceous stony [SMASSII],3.68516645174728e+17,31.94,2.751386456,0.189362911,13.86529166,17.59,9,0,3.6,none,6.68,0,2.3749,3,2,3.31,1.51,6.29,5.33
675 Ludmilla  (r=38.0km),S — Silicaceous stony [SMASSII],6.20587699516005e+17,38,2.767038186,0.204989956,9.810978298,7.717,6,0,2.4,none,1.56,0,2.3676,4,3,2.69,4.2,6.02,4.7
516 Amherstia  (r=32.6km),X — X-complex (metallic / enstatite) [SMASSII],5.06628867428192e+17,32.572,2.677727559,0.275624964,12.95474983,7.4842,9,0,3.6,none,6.68,0,2.3593,3,2,1.22,2.11,7.33,4.56
972 Cohnia  (r=38.9km),Unclassified,4.93650394023156e+17,38.9135,3.05677664,0.234891513,8.369133992,18.472,6,0,2.4,none,1.56,0,2.3413,3,3,1.82,5.13,3.73,4.82
983 Gunila  (r=36.9km),XD — X-complex (metallic / enstatite) [Tholen],7.38704872645131e+17,36.935,3.16259915,0.089064113,14.8629058,16.633,8,0,3.2,none,3.81,0,2.3136,4,3,7.51,1.07,1.71,6.04
166 Rhodope  (r=26.2km),Xe — X-complex (metallic / enstatite) [SMASSII],2.63564228574811e+17,26.1965,2.687092262,0.210272521,12.02287161,4.715,9,0,3.6,none,6.68,0,2.31,3,1,2.53,2.6,7.2,1.98
216 Kleopatra  (r=61.0km),Xe — X-complex (metallic / enstatite) [SMASSII],3.32771526315417e+18,61,2.794919893,0.250334274,13.11727472,5.385,8,0,3.2,none,3.81,0,2.2976,5,4,1.4,1.93,5.6,2.53
1240 Centenaria (1932 CD)  (r=31.5km),Unclassified,2.62285262924841e+17,31.5175,2.866308517,0.175372472,10.1616319,11.2907,6,0,2.4,none,1.56,0,2.2791,3,2,3.71,3.84,5.22,9.13
676 Melitta  (r=39.2km),XC — X-complex (metallic / enstatite) [Tholen],8.82062953341764e+17,39.1845,3.067165099,0.122581601,12.8489741,16.743,7,0,2.8,none,2.28,0,2.2656,4,3,6.16,2.13,3.67,5.93
318 Magdalena  (r=42.5km),CXF — Primitive carbonaceous [Tholen],4.50177137290027e+17,42.5,3.196789113,0.085363214,10.65908711,42.65,7,0,2.8,none,2.28,0,2.2647,3,3,7.67,3.47,1,1.31
784 Pickeringia  (r=37.8km),C — Primitive carbonaceous [SMASSII],3.16681801646908e+17,37.798,3.097951163,0.240927118,12.28058536,13.169,8,0,3.2,none,3.81,0,2.2567,3,3,1.6,2.47,3.31,8.69
779 Nina  (r=40.3km),X — X-complex (metallic / enstatite) [SMASSII],9.58559551056127e+17,40.286,2.664512815,0.226277282,14.57386355,11.186,8,0,3.2,none,3.81,0,2.2522,4,3,2.02,1.22,7.56,9.04
313 Chaldaea  (r=35.6km),C — Primitive carbonaceous [Tholen],2.64396389345423e+17,35.5915,2.37564679,0.180833786,11.64374582,8.392,7,0,2.8,none,2.28,0,2.2473,3,3,3.56,2.89,9.49,5.69
943 Begonia  (r=35.3km),ST — Silicaceous stony [Tholen],4.96889320659799e+17,35.286,3.113551803,0.214718518,12.11356674,15.66,8,0,3.2,none,3.81,0,2.242,3,3,2.4,2.56,3.11,6.78
952 Caia  (r=44.3km),Unclassified,7.30603860946429e+17,44.346,2.99189467,0.244597049,9.98950261,7.5,6,0,2.4,none,1.56,0,2.2244,4,3,1.47,4.04,4.33,4.58
760 Massinga  (r=35.6km),SU — Silicaceous stony [Tholen],5.12210209411814e+17,35.645,3.147341248,0.234497447,12.54216344,10.72,8,0,3.2,none,3.81,0,2.2189,3,3,1.87,2.36,2.22,8.44
934 Thuringia  (r=26.9km),Ch — Primitive carbonaceous [SMASSII],1.1360282793542e+17,26.857,2.748996246,0.215658994,14.08160737,8.166,8,2,4.4,aqueous-alteration(+3),8.67,0,2.2173,1,1,2.38,1.42,6.36,5.24
385 Ilmatar  (r=42.9km),S — Silicaceous stony [Tholen],8.9409976021837e+17,42.9185,2.847606423,0.126920632,13.58186455,62.35,8,0,3.2,none,3.81,0,2.2096,4,3,5.89,1.64,5.33,1.18
906 Repsolda  (r=32.9km),Unclassified,2.97684018915321e+17,32.876,2.894875486,0.084698973,11.78172873,15.368,6,0,2.4,none,1.56,0,2.2084,3,2,7.69,2.76,5,6.96
256 Walpurga  (r=33.3km),Unclassified,3.09824866657639e+17,33.317,3.002779101,0.063050193,13.29746113,16.664,6,0,2.4,none,1.56,0,2.16,3,3,8.8,1.84,4.27,6
137 Meliboea  (r=64.3km),C — Primitive carbonaceous [Tholen],1.56185087254256e+18,64.339,3.126287156,0.210735595,13.42268103,25.676,8,0,3.2,none,3.81,0,2.1544,4,4,2.51,1.73,2.89,2.64
874 Rotraut  (r=29.1km),Unclassified,2.07368949191822e+17,29.1435,3.152444939,0.080019622,11.14159804,14.297,6,0,2.4,none,1.56,0,2.1516,2,2,7.96,3.16,2.02,7.62
786 Bredichina  (r=54.2km),C — Primitive carbonaceous [Tholen],9.31365820905115e+17,54.1545,3.191736673,0.152453757,14.51877203,29.434,8,0,3.2,none,3.81,0,2.1389,4,4,4.82,1.24,1.13,2.11
253 Mathilde  (r=26.4km),Cb — Primitive carbonaceous [SMASSII],1.07901734412888e+17,26.4,2.646519094,0.264370003,6.740899232,417.7,7,0,2.8,flyby-visited(-1),2.28,0,2.1344,1,1,1.24,6.51,7.89,1.02
576 Emanuela  (r=37.2km),Unclassified,4.30885725009678e+17,37.189,2.994293142,0.192161857,10.21235791,20.372,6,0,2.4,none,1.56,0,2.1302,3,3,3.18,3.78,4.31,4
891 Gunhild  (r=27.9km),Unclassified,1.81423324499668e+17,27.8735,2.860854374,0.025918802,13.54635581,11.892,6,0,2.4,none,1.56,0,2.1209,2,2,9.82,1.67,5.24,9.89
1306 Scythia (1930 OB)  (r=33.4km),S — Silicaceous stony [Tholen],4.2101893722214e+17,33.39,3.142470092,0.096760868,14.98809842,7.525,8,0,3.2,none,3.81,0,2.1202,3,3,7.27,1,2.33,4.6
1072 Malva (1926 TA)  (r=26.8km),Unclassified,1.61936510754583e+17,26.8375,3.171353438,0.237081464,8.019869649,10.08,6,0,2.4,none,1.56,0,2.1187,2,1,1.69,5.51,1.58,7.64
527 Euryanthe  (r=26.3km),Cb — Primitive carbonaceous [SMASSII],1.0684458076828e+17,26.3135,2.724518349,0.151876134,9.661056401,42.75,8,0,3.2,none,3.81,0,2.1104,1,1,4.84,4.29,6.84,1.29
546 Herodias  (r=33.0km),TDG — Primitive transitional [Tholen],2.10219150018931e+17,32.9725,2.596711814,0.116235627,14.86891181,10.77,8,0,3.2,none,3.81,0,2.1082,2,2,6.31,1.04,8.33,8.51
640 Brambilla  (r=31.3km),G — Primitive carbonaceous [Tholen],1.80402840694895e+17,31.3335,3.160233769,0.078350226,13.37052081,7.768,8,0,3.2,none,3.81,0,2.0851,2,2,8.09,1.8,1.76,4.78
393 Lampetia  (r=58.1km),Xc — X-complex (metallic / enstatite) [SMASSII],2.87464443955701e+18,58.0955,2.780691091,0.332906205,14.82555336,38.455,8,0,3.2,none,3.81,0,2.0678,5,4,1.04,1.09,5.8,1.44
1243 Pamela (1932 JE)  (r=34.9km),Unclassified,3.57390693683253e+17,34.9415,3.09835897,0.045346213,13.26357416,25.96,6,0,2.4,none,1.56,0,2.0471,3,3,9.44,1.87,3.27,2.6
1469 Linzia (1938 QD)  (r=37.4km),Unclassified,4.3791013883302e+17,37.39,3.12524908,0.0609344,13.41936859,22.215,6,0,2.4,none,1.56,0,2.0236,3,3,8.93,1.76,2.91,3.51
949 Hel  (r=31.7km),Unclassified,2.68056708748683e+17,31.747,2.995646865,0.200252838,10.64162519,16.43,6,0,2.4,none,1.56,0,2.0204,3,2,2.87,3.49,4.29,6.18
957 Camelia  (r=45.8km),Unclassified,8.03480240337844e+17,45.774,2.920225076,0.082094617,14.76020638,85.05,6,0,2.4,none,1.56,0,2.0138,4,4,7.84,1.13,4.76,1.09
845 Naema  (r=26.3km),C — Primitive carbonaceous [SMASSII],1.07149403741562e+17,26.3385,2.939588336,0.068515672,12.61252643,20.892,8,0,3.2,none,3.81,0,1.9909,1,1,8.47,2.33,4.58,3.78
987 Wallia  (r=26.3km),Unclassified,1.52844033634755e+17,26.3255,3.134623636,0.237971013,8.91028392,10.0813,6,0,2.4,none,1.56,0,1.9831,2,1,1.67,4.73,2.6,7.67
591 Irmgard  (r=25.9km),X — X-complex (metallic / enstatite) [Tholen],2.55601974252504e+17,25.93,2.677957633,0.210029982,12.4513073,7.35,8,0,3.2,none,3.81,0,1.9696,3,1,2.58,2.4,7.31,4.38
217 Eudora  (r=32.7km),X — X-complex (metallic / enstatite) [Tholen],5.12437056354323e+17,32.696,2.868265325,0.309681054,10.51881799,25.272,7,0,2.8,none,2.28,0,1.9216,3,2,1.07,3.62,5.2,2.76
2193 Jackson (1926 KB)  (r=29.1km),Unclassified,2.07134228147951e+17,29.1325,3.105764238,0.074637328,11.67459621,4.7541,6,0,2.4,none,1.56,0,1.908,2,2,8.2,2.87,3.24,2
1041 Asta (1925 FA)  (r=30.3km),C — Primitive carbonaceous [SMASSII],1.6289992680777e+17,30.2855,3.072356721,0.146439588,13.9344256,7.978,8,0,3.2,none,3.81,0,1.8811,2,2,5.02,1.47,3.56,5.04
788 Hohensteina  (r=55.6km),Unclassified,1.44362893921282e+18,55.6475,3.12343474,0.136357286,14.35556474,37.137,6,0,2.4,none,1.56,0,1.8747,4,4,5.4,1.27,2.96,1.51
1149 Volga (1929 PF)  (r=26.2km),Unclassified,1.50470192668022e+17,26.1885,2.896350964,0.098379517,11.76199784,27.262,7,0,2.8,none,2.28,0,1.8678,2,1,7.22,2.8,4.98,2.4
1436 Salonta (1936 YA)  (r=26.9km),Unclassified,1.62788790528749e+17,26.8845,3.147740871,0.060475125,13.88906402,8.87,6,0,2.4,none,1.56,0,1.8267,2,2,8.96,1.49,2.16,6.27
778 Theobalda  (r=27.7km),F — Primitive carbonaceous [Tholen],1.24080208648829e+17,27.6585,3.17844811,0.256862337,13.71724942,11.659,8,0,3.2,none,3.81,0,1.8193,2,2,1.29,1.6,1.44,9.49
1637 Swings  (r=26.5km),Unclassified,1.55850687420845e+17,26.497,3.067905177,0.051348828,14.08121778,10.264,6,0,2.4,none,1.56,0,1.8111,2,1,9.29,1.44,3.62,7.87
696 Leonora  (r=40.8km),XC — X-complex (metallic / enstatite) [Tholen],9.94987831865404e+17,40.79,3.175059639,0.24810174,13.01494305,26.8964,7,0,2.8,none,2.28,0,1.7776,4,3,1.42,2.02,1.51,2.47
